Date,Open,High,Low,Close,High_Low_Diff,Volume
26/09/2015,235.076004,235.403,233.358002,234.339996,2.044998,13724100
27/09/2015,234.139008,234.526001,232.475998,232.757004,2.050003,14179900
28/09/2015,232.835999,239.339005,232.466995,239.141998,6.87201,24713000
29/09/2015,239.016006,239.802002,235.927994,236.686996,3.874008,22691300
30/09/2015,236.639999,237.733994,235.628998,236.059998,2.104996,19743500
1/10/2015,236.003998,238.445007,235.615997,237.548996,2.82901,20488800
2/10/2015,237.264008,238.541,236.602997,237.292999,1.938003,19677900
3/10/2015,237.201996,239.315002,236.944,238.729996,2.371002,16482700
4/10/2015,238.531006,238.968002,237.940002,238.259003,1.028,12999000
5/10/2015,238.147003,240.382996,237.035004,240.382996,3.347992,23335900
6/10/2015,240.363998,246.934998,240.136002,246.063004,6.798996,27535100
